scenario_id,sub_experiment_name,model_name,random_seed,train_samples,test_samples,hyperparameters,model_path,train_accuracy,train_f1_weighted,train_f1_macro,train_precision_weighted,train_precision_macro,train_recall_weighted,train_recall_macro,train_top_1_accuracy,train_top_2_accuracy,train_top_3_accuracy,train_top_4_accuracy,train_top_5_accuracy,train_recognition_rate,test_accuracy,test_f1_weighted,test_f1_macro,test_precision_weighted,test_precision_macro,test_recall_weighted,test_recall_macro,test_top_1_accuracy,test_top_2_accuracy,test_top_3_accuracy,test_top_4_accuracy,test_top_5_accuracy,test_recognition_rate
1.1,S1.1_T_3_S1toS2,RandomForest,456,61,61,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",scenario_results_rf_only_2026-01-25_200552_early_stop/randomforest_S1.1_T_3_S1toS2_2026-01-25_200552_seed456_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8360655737704918,0.7978142076502732,0.7978142076502732,0.7814207650273225,0.7814207650273225,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.9344262295081968,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.819672131147541
1.2,S1.2_F_1_S2toS1,RandomForest,42,61,61,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",scenario_results_rf_only_2026-01-25_200552_early_stop/randomforest_S1.2_F_1_S2toS1_2026-01-25_200552_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.819672131147541,0.7732240437158471,0.7732240437158471,0.7513661202185793,0.7513661202185793,0.819672131147541,0.819672131147541,0.7704918032786885,0.9180327868852459,0.9672131147540983,0.9672131147540983,0.9836065573770492,0.7540983606557377
1.2,S1.2_F_2_S2toS1,RandomForest,42,61,61,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",scenario_results_rf_only_2026-01-25_200552_early_stop/randomforest_S1.2_F_2_S2toS1_2026-01-25_200552_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8524590163934426,0.8114754098360656,0.8114754098360656,0.7923497267759562,0.7923497267759562,0.8524590163934426,0.8524590163934426,0.8524590163934426,0.9344262295081968,0.9508196721311475,0.9836065573770492,0.9836065573770492,0.8524590163934426
1.2,S1.2_F_3_S2toS1,RandomForest,42,61,61,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",scenario_results_rf_only_2026-01-25_200552_early_stop/randomforest_S1.2_F_3_S2toS1_2026-01-25_200552_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8360655737704918,0.8169398907103824,0.8169398907103824,0.808743169398907,0.808743169398907,0.8360655737704918,0.8360655737704918,0.8688524590163934,0.9180327868852459,0.9508196721311475,0.9836065573770492,0.9836065573770492,0.8360655737704918
1.2,S1.2_I_1_S2toS1,RandomForest,42,61,61,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",scenario_results_rf_only_2026-01-25_200552_early_stop/randomforest_S1.2_I_1_S2toS1_2026-01-25_200552_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.819672131147541,0.7923497267759562,0.7923497267759562,0.7786885245901639,0.7786885245901639,0.819672131147541,0.819672131147541,0.8032786885245902,0.9016393442622951,0.9508196721311475,0.9672131147540983,0.9836065573770492,0.7540983606557377
1.2,S1.2_I_2_S2toS1,RandomForest,42,61,61,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",scenario_results_rf_only_2026-01-25_200552_early_stop/randomforest_S1.2_I_2_S2toS1_2026-01-25_200552_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9180327868852459,0.9016393442622951,0.9016393442622951,0.8934426229508197,0.8934426229508197,0.9180327868852459,0.9180327868852459,0.9344262295081968,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9180327868852459
1.2,S1.2_I_3_S2toS1,RandomForest,42,61,61,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",scenario_results_rf_only_2026-01-25_200552_early_stop/randomforest_S1.2_I_3_S2toS1_2026-01-25_200552_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688524590163934,0.8469945355191256,0.8469945355191256,0.8360655737704918,0.8360655737704918,0.8688524590163934,0.8688524590163934,0.8360655737704918,0.9180327868852459,0.9508196721311475,0.9508196721311475,0.9672131147540983,0.8360655737704918
1.2,S1.2_T_1_S2toS1,RandomForest,42,61,61,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",scenario_results_rf_only_2026-01-25_200552_early_stop/randomforest_S1.2_T_1_S2toS1_2026-01-25_200552_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8524590163934426,0.8142076502732241,0.8142076502732241,0.7950819672131147,0.7950819672131147,0.8524590163934426,0.8524590163934426,0.8360655737704918,0.9016393442622951,0.9344262295081968,0.9508196721311475,0.9672131147540983,0.8360655737704918
1.2,S1.2_T_2_S2toS1,RandomForest,42,61,61,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",scenario_results_rf_only_2026-01-25_200552_early_stop/randomforest_S1.2_T_2_S2toS1_2026-01-25_200552_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8524590163934426,0.8251366120218578,0.8251366120218578,0.8114754098360656,0.8114754098360656,0.8524590163934426,0.8524590163934426,0.8360655737704918,0.9180327868852459,0.9508196721311475,0.9836065573770492,0.9836065573770492,0.819672131147541
1.2,S1.2_T_3_S2toS1,RandomForest,42,61,61,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",scenario_results_rf_only_2026-01-25_200552_early_stop/randomforest_S1.2_T_3_S2toS1_2026-01-25_200552_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8524590163934426,0.819672131147541,0.819672131147541,0.8032786885245902,0.8032786885245902,0.8524590163934426,0.8524590163934426,0.8524590163934426,0.9344262295081968,0.9508196721311475,0.9672131147540983,0.9672131147540983,0.8524590163934426
1.2,S1.2_F_1_S2toS1,RandomForest,123,61,61,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",scenario_results_rf_only_2026-01-25_200552_early_stop/randomforest_S1.2_F_1_S2toS1_2026-01-25_200552_seed123_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688524590163934,0.8415300546448088,0.8415300546448088,0.8278688524590164,0.8278688524590164,0.8688524590163934,0.8688524590163934,0.8360655737704918,0.9344262295081968,0.9508196721311475,0.9508196721311475,0.9672131147540983,0.8360655737704918
1.2,S1.2_F_2_S2toS1,RandomForest,123,61,61,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",scenario_results_rf_only_2026-01-25_200552_early_stop/randomforest_S1.2_F_2_S2toS1_2026-01-25_200552_seed123_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.819672131147541,0.7650273224043715,0.7650273224043715,0.7377049180327869,0.7377049180327869,0.819672131147541,0.819672131147541,0.8360655737704918,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9836065573770492,0.819672131147541
1.2,S1.2_F_3_S2toS1,RandomForest,123,61,61,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",scenario_results_rf_only_2026-01-25_200552_early_stop/randomforest_S1.2_F_3_S2toS1_2026-01-25_200552_seed123_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8360655737704918,0.8060109289617486,0.8060109289617486,0.7923497267759562,0.7923497267759562,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.9508196721311475,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.8360655737704918
